Time	Open	High	Low	Close	Volume
2009-10-29 00:00:00	1.01835	1.01855	1.0176	1.01825	5782	23
2009-10-30 00:00:00	1.01825	1.02755	1.0156	1.02605	410190	28
2009-11-01 00:00:00	1.0254	1.02775	1.02355	1.0264	11095	49
2009-11-02 00:00:00	1.02645	1.02655	1.01645	1.02205	469187	27
2009-11-03 00:00:00	1.02205	1.0338	1.01945	1.0253	562376	16
2009-11-04 00:00:00	1.02535	1.0277	1.0127	1.0155	469303	26
2009-11-05 00:00:00	1.0155	1.0193	1.01315	1.01585	464497	23
2009-11-06 00:00:00	1.0159	1.0201	1.0126	1.01694	380760	23
2009-11-08 00:00:00	1.0146	1.0166	1.0143	1.0165	11368	54
2009-11-09 00:00:00	1.0165	1.0173	1.00545	1.00735	441168	28
2009-11-10 00:00:00	1.00735	1.01085	1.006	1.0071	458336	24
2009-11-11 00:00:00	1.0071	1.0099	1.00345	1.0081	354582	24
2009-11-12 00:00:00	1.0081	1.0193	1.00585	1.0168	424995	20
2009-11-13 00:00:00	1.0168	1.0185	1.0101	1.01228	331138	21
2009-11-15 00:00:00	1.0119	1.01205	1.00895	1.00895	9871	46
2009-11-16 00:00:00	1.00895	1.0144	1.0047	1.00715	290224	21
2009-11-17 00:00:00	1.00715	1.02085	1.006	1.01578	412080	20
2009-11-18 00:00:00	1.01573	1.0166	1.0076	1.01025	331513	19
2009-11-19 00:00:00	1.01025	1.01955	1.0102	1.01345	337447	24
2009-11-20 00:00:00	1.01345	1.02235	1.01225	1.0178	348064	22
2009-11-22 00:00:00	1.0182	1.0197	1.0169	1.0171	11781	51
2009-11-23 00:00:00	1.0171	1.01715	1.00715	1.0102	270776	16
2009-11-24 00:00:00	1.01025	1.0152	1.0076	1.0086	311084	22
2009-11-25 00:00:00	1.0086	1.0091	0.99555	0.99705	268596	25
2009-11-26 00:00:00	0.99705	1.00765	0.99155	1.00495	222815	17
2009-11-27 00:00:00	1.005	1.0176	1.00285	1.00575	262146	42
2009-11-29 00:00:00	1.00395	1.00745	1.0028	1.0055	9513	55
2009-11-30 00:00:00	1.00555	1.00705	0.99935	1.00325	426616	27
2009-12-01 00:00:00	1.00325	1.00745	0.99695	0.9988	395971	23
2009-12-02 00:00:00	0.9988	1.00265	0.9978	1.0005	389653	30
2009-12-03 00:00:00	1.00055	1.002	0.99605	0.9999	369971	30
2009-12-04 00:00:00	0.9999	1.0191	0.9984	1.0163	393121	23
2009-12-06 00:00:00	1.01655	1.01675	1.01525	1.0156	11558	55
2009-12-07 00:00:00	1.0157	1.02445	1.0136	1.0184	521975	24
2009-12-08 00:00:00	1.0184	1.02905	1.01635	1.02745	477237	19
2009-12-09 00:00:00	1.02745	1.02995	1.02185	1.026	480631	27
2009-12-10 00:00:00	1.026	1.03015	1.0237	1.02605	304084	24
2009-12-11 00:00:00	1.02605	1.03675	1.02345	1.0343	365067	26
2009-12-13 00:00:00	1.03415	1.03595	1.0339	1.03415	10824	49
2009-12-14 00:00:00	1.03385	1.0353	1.02945	1.03125	366649	25
2009-12-15 00:00:00	1.03125	1.0429	1.03094	1.04005	391251	24
2009-12-16 00:00:00	1.04005	1.0425	1.03455	1.0389	404240	23
2009-12-17 00:00:00	1.03895	1.05075	1.0385	1.04635	482509	22
2009-12-18 00:00:00	1.04635	1.04785	1.03865	1.04225	465083	25
2009-12-20 00:00:00	1.03955	1.0413	1.03818	1.04025	7238	65
2009-12-21 00:00:00	1.04025	1.04815	1.03925	1.04545	374909	22
2009-12-22 00:00:00	1.04545	1.05035	1.04415	1.04835	407859	26
2009-12-23 00:00:00	1.04835	1.0497	1.03585	1.03905	222131	23
2009-12-24 00:00:00	1.039	1.0395	1.03205	1.03638	224734	21
2009-12-25 00:00:00	1.03627	1.03778	1.03421	1.03536	387177	24
2009-12-27 00:00:00	1.0342	1.03745	1.0337	1.03665	7354	230
2009-12-28 00:00:00	1.03665	1.0388	1.0328	1.0353	215870	27
2009-12-29 00:00:00	1.0353	1.03855	1.0279	1.03765	323583	23
2009-12-30 00:00:00	1.03765	1.04215	1.03505	1.03625	256880	26
2009-12-31 00:00:00	1.0362	1.03855	1.02855	1.03485	151952	30
2010-01-01 00:00:00	1.03491	1.03553	1.03347	1.035	313596	32
2010-01-03 00:00:00	1.03644	1.037	1.03385	1.0361	8488	18
2010-01-04 00:00:00	1.0361	1.042	1.02625	1.02915	362117	29
2010-01-05 00:00:00	1.02915	1.03605	1.0252	1.0334	408366	13
2010-01-06 00:00:00	1.0334	1.03795	1.02485	1.02765	384472	25
2010-01-07 00:00:00	1.02765	1.03705	1.02405	1.03375	460575	24
2010-01-08 00:00:00	1.03375	1.03845	1.0216	1.0239	413072	21
2010-01-10 00:00:00	1.02225	1.024	1.01915	1.0204	13456	36
2010-01-11 00:00:00	1.02025	1.02065	1.01305	1.01675	356192	20
2010-01-12 00:00:00	1.01675	1.0208	1.01445	1.01895	385728	28
2010-01-13 00:00:00	1.01875	1.0219	1.01375	1.01755	409951	22
2010-01-14 00:00:00	1.01755	1.02345	1.01595	1.0187	383963	27
2010-01-15 00:00:00	1.0187	1.02865	1.01858	1.025	424597	11
2010-01-17 00:00:00	1.0275	1.0283	1.02653	1.02655	7202	48
2010-01-18 00:00:00	1.0266	1.0291	1.0235	1.0237	229423	26
2010-01-19 00:00:00	1.02375	1.03545	1.0227	1.0328	481959	21
2010-01-20 00:00:00	1.0328	1.0462	1.0326	1.04355	497807	23
2010-01-21 00:00:00	1.04355	1.0495	1.04025	1.04195	519054	28
2010-01-22 00:00:00	1.04205	1.0446	1.03745	1.04095	467041	25
2010-01-24 00:00:00	1.0398	1.04155	1.03974	1.04135	7151	19
2010-01-25 00:00:00	1.04135	1.04235	1.03675	1.04	387738	27
2010-01-26 00:00:00	1.0401	1.04915	1.03775	1.04585	496906	20
2010-01-27 00:00:00	1.0459	1.05255	1.0446	1.04965	477334	21
2010-01-28 00:00:00	1.04965	1.0555	1.04765	1.05195	448938	21
2010-01-29 00:00:00	1.05195	1.06425	1.0482	1.0606	439699	20
2010-01-31 00:00:00	1.06015	1.06245	1.05995	1.0602	8139	60
2010-02-01 00:00:00	1.0602	1.0623	1.0553	1.05685	409700	18
2010-02-02 00:00:00	1.0569	1.06065	1.0541	1.05475	400411	19
2010-02-03 00:00:00	1.0547	1.06	1.0497	1.05835	426181	20
2010-02-04 00:00:00	1.05835	1.06755	1.058	1.0658	385354	19
2010-02-05 00:00:00	1.0658	1.0795	1.0646	1.07225	389231	23
2010-02-07 00:00:00	1.07445	1.07685	1.0737	1.07545	12634	46
2010-02-08 00:00:00	1.0755	1.07725	1.0683	1.07285	482062	20
2010-02-09 00:00:00	1.0728	1.07465	1.0609	1.06535	452233	18
2010-02-10 00:00:00	1.06535	1.07205	1.06175	1.06665	392974	18
2010-02-11 00:00:00	1.06665	1.0783	1.0626	1.0705	471889	20
2010-02-12 00:00:00	1.0705	1.0827	1.0705	1.07515	351026	19
2010-02-14 00:00:00	1.0764	1.07705	1.07565	1.0759	4082	48
